,index,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME,OI,pre_OPEN,pre_HIGH,pre_LOW,pre_CLOSE,pre_VOLUME,pre_OI,today_OPEN,today_HIGH,today_LOW,today_CLOSE,today_VOLUME,today_OI,todayRMeanvolume,pre_R_Meanvolume,todayRStdvolume,pre_R_Stdvolume,todayRQtlvolume,pre_R_Qtlvolume,Roll_Meanvolume,Return,Volatility,Daily_Volatility_percent,Daily_volatility,OBV,RSI,Y_Z_Volatility,R_S_Volatility,-dm,+dm,+di14,-di14,adx14,H_OPEN,H_HIGH,H_LOW,H_CLOSE,OHLC_4,today_RMeanvolume_return,pre_R_Meanvolume_return,today_RMeanvolume_indicator,pre_R_Meanvolume_indicator,to_day_candle,pre_candle,State,candle,Max_prob,forecast_candle,Next_day_state_forecast,Next_day_candle_forecast,Forecasted_HIGH,Forecasted_LOW,Forecasted_wos_HIGH,Forecasted_wos_LOW,R_S_Volatility_min,Daily_volatility_min,R_S_Volatility_wos_min,Daily_volatility_wos_min,R_S_Volatility_max,Daily_volatility_max,R_S_Volatility_wos_max,Daily_volatility_wos_max
682,712,2017-03-29,11:00:00,64.9275,65.1925,64.9225,65.12,773299,1676862,65.34,65.34,65.0325,65.0525,1386781,983265,65.0925,65.1125,64.905,64.9275,686734,876533,306218.13333333336,952043.8333333334,177550.56411426025,330728.65932279377,394174.5,1206953.5,652549.1666666666,0.0010376234579763,0.0028677805772836,0.0012669891730015,0.0012165989991439,-2560.464999999998,20.64119995798714,0.045405541666631,0.0019924015442648,0.1274999999999977,0.0,10.236220472441088,50.39370078740166,50.8205188794533,65.2708871629282,65.2708871629282,64.9225,65.040625,65.040625,11118.533333333384,14181.566666666537,1.0,1.0,0.0,0.0,S_6,1.0,0.6833333333333333,1,S_6,1,65.23731493282816,64.83690305766186,65.14446747993415,64.81852720667783,0.0017440445721370302,0.00080993320223569,0.0017765845390669,0.0008959666879581,0.00279267276011235,0.00175209632724655,0.0025137473313694,0.0015334395992278
683,713,2017-03-30,11:00:00,65.1425,65.1525,65.075,65.0975,481041,1671913,65.0925,65.1925,64.905,65.12,1460033,1676862,65.08,65.1875,65.07,65.1425,263274,1666685,307749.6666666667,958767.3,176954.52919291198,339113.8643499462,394174.5,1206953.5,637309.4,-0.0003455159705161,0.0027707365505782,0.0041415807033017,0.0012574672448891,-2495.344999999998,23.13497408387174,0.0458783034360215,0.0020829566133343,0.0,0.0,10.156250000000124,50.0,53.5934216523559,65.1557560814641,65.1557560814641,65.075,65.116875,65.116875,1531.5333333333256,6723.466666666674,1.0,1.0,1.0,0.0,S_2,0.0,0.5833333333333334,1,S_3,0,65.3367194737982,65.10819783014912,65.22860978545276,65.04841015455429,0.0018840460323373,0.00086307864476288,0.0017765845390669,0.0008959666879581,0.0026348507144501997,0.00150686377713325,0.0025128466537158,0.0015333904174694
684,714,2017-03-31,11:00:00,65.0,65.1575,64.99,65.0525,624702,1719557,65.08,65.1875,65.07,65.0975,744315,1671913,65.035,65.0975,64.945,65.0,335566,1729914,310961.56666666665,945059.0666666668,176541.5544537426,339196.4308342344,394174.5,1206953.5,638631.1,-0.0006912707861285,0.0027627849870932,0.0011895169026514,0.0012558097792775,-2560.442499999998,22.876912791724468,0.0456039957264088,0.0020536187532355,0.125,0.0,7.62124711316407,53.11778290993073,58.46403058487939,65.13631554073206,65.1575,64.99,65.05,65.05,3211.899999999965,-13708.23333333328,1.0,0.0,0.0,1.0,S_11,1.0,0.5882352941176471,1,S_10,1,65.09280496903277,64.93842255666306,65.05841707753811,64.90945559333352,0.0018583637601436599,0.0007662912593576599,0.0017765845390669,0.0008959666879581,0.0024966462052261,0.001421912762165,0.0025088249251566,0.0015330647596268
685,715,2017-04-03,11:00:00,65.0425,65.27,65.0225,65.21,659060,1779924,65.035,65.1575,64.945,65.0525,960268,1719557,64.96,65.055,64.875,65.0425,249274,1761446,313790.3,949592.6666666666,174783.53325759966,338434.25650499755,394174.5,1206953.5,643849.7333333333,0.0024211214019445,0.0027104283065248,0.0025706940874036,0.0012564730714534,-2495.389999999998,22.340183538705304,0.0460048017883634,0.0020908983198816,0.0699999999999931,0.0,7.410179640718624,51.94610778443064,62.79602802826219,65.09315777036602,65.27,65.0225,65.13624999999999,65.13624999999999,2828.733333333337,4533.59999999986,1.0,1.0,1.0,1.0,S_1,1.0,0.5384615384615384,1,S_3,0,65.13769852283878,65.01276291855157,65.12491035463894,64.96182004893517,0.00188584673588575,0.001053599707669575,0.0017765845390669,0.0008959666879581,0.00263629299276845,0.00164567251852655,0.0025084849376014,0.0015325869827585
686,716,2017-04-05,11:00:00,65.245,65.2525,65.07,65.075,754094,1676349,64.96,65.27,64.875,65.21,908334,1779924,65.23,65.3475,65.23,65.245,293765,1764516,315752.73333333334,957640.0333333332,174196.6544278551,334326.20419991243,394174.5,1206953.5,653633.9666666667,-0.0020702346265908,0.0027791868096054,0.0037919411674582,0.0012734202391136,-2560.599999999998,28.649837522270875,0.0470667384525353,0.0021754488772024,0.0,0.0775000000000005,10.699588477366367,43.78600823045223,63.34615800788679,65.114703885183,65.2525,65.07,65.160625,65.160625,1962.4333333333489,8047.366666666581,1.0,1.0,1.0,1.0,S_1,0.0,0.5471698113207547,1,S_3,0,65.41200100427776,65.17431881877938,65.31805755680912,65.15801607995785,0.0018881521471837,0.0010560933438334,0.0017765845390669,0.0008959666879581,0.0026089209459499,0.0016275758032273,0.0025070604546322,0.001532208522779
687,717,2017-04-06,11:00:00,65.16,65.195,64.6875,64.71,1185085,1576538,65.23,65.3475,65.07,65.075,1047859,1676349,65.25,65.25,65.1225,65.16,256621,1646923,317639.73333333334,969386.7,173203.4231548188,330970.7433679391,394174.5,1206953.5,672747.1666666666,-0.0056089127929314,0.002786066705179,0.0027968277077507,0.0012597369325332,-2495.5249999999983,26.65107238291981,0.0475330094569365,0.0022239832215853,0.0,0.0,11.732851985559686,33.57400722021639,62.09219082576762,65.1376644425915,65.195,64.6875,64.938125,64.938125,1887.0,11746.666666666744,1.0,1.0,0.0,0.0,S_6,0.0,0.6885245901639344,1,S_6,1,65.30616280047117,65.14397165516309,65.26510708619341,65.10166701911284,0.0017449648218463,0.000810479828384,0.0017765845390669,0.0008959666879581,0.0027862828482048,0.0017487288546846,0.0025065922817586,0.0015321804053939
688,718,2017-04-07,11:00:00,64.5525,64.625,64.315,64.435,1235960,1544106,65.25,65.25,64.6875,64.71,1441706,1576538,64.815,64.8525,64.485,64.5525,765306,1581388,335147.3,990386.9,190749.6391484184,340471.1507245188,406221.5,1238846.25,679918.6666666666,-0.0042497295626641,0.0028513415170077,0.0077843392898227,0.0016048766142548,-2430.8149999999982,22.151368418139786,0.0485695457924737,0.0022282750148362,0.2025000000000005,0.0,12.264150943396308,34.99999999999973,60.61539171918928,65.03789472129574,65.03789472129574,64.315,64.481875,64.481875,17507.56666666665,21000.20000000007,1.0,1.0,0.0,0.0,S_6,0.0,0.6885245901639344,1,S_6,1,64.68760795499814,64.43939862188347,64.71830914068848,64.4485349422296,0.0017449648218463,0.000810479828384,0.0017765845390669,0.0008959666879581,0.002757512863597,0.0017263869576251,0.0025044266542661,0.0015310033351881
689,719,2017-04-10,11:00:00,64.5975,64.725,64.5825,64.6925,658649,1412959,64.815,64.8525,64.315,64.435,2001266,1544106,64.41,64.6475,64.41,64.5975,353247,1552931,338695.3333333333,1015065.9666666668,190038.3879424029,384713.4313474584,406221.5,1238846.25,677589.4666666667,0.0039962753162099,0.0029011455337798,0.0047969052224371,0.0016531782557308,-2366.3799999999983,19.48243898442463,0.0501753433346931,0.0023425013540327,0.0,0.0,7.323943661972085,34.835680751173406,61.30598574087526,64.75988486064787,64.75988486064787,64.5825,64.64937499999999,64.64937499999999,3548.0333333333256,24679.066666666768,1.0,1.0,1.0,0.0,S_2,1.0,0.5714285714285714,1,S_3,0,64.74899434272444,64.51119096181196,64.71179536322272,64.49192757458074,0.0018851882738949999,0.00086624587962842,0.0017765845390669,0.0008959666879581,0.0026328092076067,0.0014866916303312,0.0025027137737333,0.0015310033351881
690,720,2017-04-11,11:00:00,64.735,64.7425,64.555,64.645,694511,1328799,64.41,64.725,64.41,64.6925,1011896,1412959,64.84,64.84,64.7125,64.735,329885,1384506,336147.9,1016284.8,189612.5400191322,384641.1188047966,394174.5,1238846.25,673950.6333333333,-0.0007342427638443,0.0030593781214579,0.0022016222479721,0.0016443170451269,-2431.0724999999984,28.20528542589225,0.0503809658465103,0.0023462491602929,0.0,0.1150000000000091,11.48148148148202,31.481481481481072,60.52396603644148,64.70462993032393,64.7425,64.555,64.669375,64.669375,-2547.43333333329,1218.8333333332555,0.0,1.0,0.0,1.0,S_12,0.0,0.47619047619047616,0,S_16,0,64.85765766328807,64.65258079719221,64.84055955813515,64.64937177617635,0.0019179429911524248,0.000908677591894625,0.0017765845390669,0.0008959666879581,0.00248027541064715,0.0015168429408136,0.0025017891207894,0.0015310033351881
691,721,2017-04-12,11:00:00,64.7875,64.8275,64.6925,64.77,621290,1262385,64.84,64.84,64.555,64.645,1024396,1328799,64.78,64.835,64.6325,64.7875,447224,1312500,334758.63333333336,1010098.5333333332,188604.74339584555,382906.90471226186,394174.5,1235815.75,671028.3,0.001933637558976,0.0030512377863011,0.0028960883500019,0.0016290954774832,-2366.4274999999984,27.611059297030355,0.0510713219511387,0.0023693883692827,0.0,0.0,11.061552185549113,30.330062444245755,59.5834956277824,64.68700246516197,64.8275,64.68700246516197,64.769375,64.769375,-1389.2666666666628,-6186.266666666837,0.0,0.0,0.0,0.0,S_16,0.0,0.39705882352941174,0,S_15,1,64.96114569480356,64.68910733482181,64.93376182532026,64.70797720229834,0.001765892262062945,0.00089251030428613,0.0017765845390669,0.0008959666879581,0.0023092479636064502,0.0015184176716004,0.0025013914472566,0.0015310033351881
692,722,2017-04-13,11:00:00,64.4075,64.575,64.38,64.52,724366,1285278,64.78,64.835,64.6325,64.77,1068514,1262385,64.5775,64.58,64.35,64.4075,543669,1275344,343514.8,1005786.9333333332,192087.66355233025,381445.2002540099,417131.75,1220052.75,678912.8666666667,-0.0038598116411918,0.0030698915196126,0.0020824495777255,0.0015945675234607,-2301.6574999999984,31.68963863631938,0.0511130403517023,0.0023360288548007,0.2824999999999988,0.0,6.626506024096651,38.98450946643655,60.74326072561527,64.72818873258097,64.72818873258097,64.38,64.470625,64.470625,8756.166666666628,-4311.599999999977,1.0,0.0,0.0,0.0,S_9,1.0,0.4,0,S_6,1,64.46764706977747,64.24115807831951,64.53487937538303,64.29585686991607,0.001861960568103535,0.00091290215812938,0.0017765845390669,0.0008959666879581,0.00230390149294825,0.00155062371143435,0.0025013211339054,0.0015310033351881
